Location,Source,WMO,Lat,Lon,Altitude
Ukiah Municipal Ap,TMY3,725905,39.13,-123.2,189
Visalia Muni  Awos,TMY3,723896,36.32,-119.4,89
ALAMOSA,TMY2-23061,724620,37.45,-105.87,2297
Alamosa San Luis Valley Rgnl,TMY3,724620,37.43,-105.87,2296
COLORADO_SPRINGS,TMY2-93037,724660,38.82,-104.72,1881
Craig Moffat,TMY3,725700,40.5,-107.53,1915
Denver Intl Ap,TMY3,725650,39.83,-104.65,1650
EAGLE,TMY2-23063,724675,39.65,-106.92,1985
Eagle,TMY--23063,724675,39.65,-106.92,1993
Eagle County Ap,TMY3,724675,39.65,-106.92,1980
Fort Collins  Awos,TMY3,724769,40.45,-105.02,1529
GRAND_JUNCTION,TMY2-23066,724760,39.12,-108.53,1475
Gunnison Co   Awos,TMY3,724677,38.53,-106.93,2339
La Junta Municipal Ap,TMY3,724635,38.05,-103.53,1281
Lamar Municipal,TMY3,724636,38.07,-102.68,1129
Limon,TMY3,724665,39.18,-103.72,1695
Montrose Co  Arpt,TMY3,724765,38.5,-107.9,1755
PUEBLO,TMY2-93058,724640,38.28,-104.52,1439
Pueblo,TMY--93058,724640,38.28,-104.52,1439
Pueblo Memorial Ap,TMY3,724640,38.28,-104.5,1428
BRIDGEPORT,TMY2-94702,725040,41.17,-73.13,2
HARTFORD,TMY2-14740,725087,41.93,-72.68,55
Oxford  Awos,TMY3,725029,41.48,-73.13,222
Dover Afb,TMY3,724088,39.13,-75.47,7
WILMINGTON,TMY2-13781,724089,39.67,-75.6,24
Apalachicola,TMY--12832,722200,29.73,-85.03,6
DAYTONA_BEACH,TMY2-12834,722056,29.18,-81.05,12
Daytona Beach,TMY--12834,722056,29.18,-81.05,11
Daytona Beach Intl Ap,TMY3,722056,29.18,-81.07,9
Fort Lauderdale Hollywood Int,TMY3,722025,26.07,-80.15,3
Gainesville Regional Ap,TMY3,722146,29.7,-82.28,41
Homestead Afb,TMY3,722026,25.48,-80.38,5
JACKSONVILLE,TMY2-13889,722060,30.5,-81.7,9
Jacksonville/Int'l Air,TMY--13889,722060,30.5,-81.7,9
Jacksonville Intl Arpt,TMY3,722060,30.5,-81.7,8
Jacksonville Nas,TMY3,722065,30.23,-81.67,9
KEY_WEST,TMY2-12836,722010,24.55,-81.75,1
Key West Intl Arpt,TMY3,722010,24.55,-81.75,1
Key West Nas,TMY3,722015,24.58,-81.68,7
Macdill Afb,TMY3,747880,27.85,-82.52,8
Marathon Airport,TMY3,722016,24.73,-81.05,2
Mayport Ns,TMY3,722066,30.4,-81.42,5
Melbourne Regional Ap,TMY3,722040,28.12,-80.65,11
MIAMI,TMY2-12839,722020,25.8,-80.27,2
Miami/Int'l Airport,TMY--12839,722020,25.82,-80.28,4
Miami Intl Ap,TMY3,722020,25.82,-80.3,11
Naples Municipal,TMY3,722038,26.15,-81.77,3
Nasa Shuttle Fclty,TMY3,747946,28.62,-80.72,3
Ocala Muni  Awos,TMY3,722055,29.17,-82.22,27
Orlando,TMY--12841,722053,28.55,-81.33,32
Orlando Executive Ap,TMY3,722053,28.55,-81.33,33
Orlando Intl Arpt,TMY3,722050,28.43,-81.33,29
Pensacola Regional Ap,TMY3,722223,30.48,-87.18,34
Southwest Florida I,TMY3,722108,26.53,-81.75,9
TALLAHASSEE,TMY2-93805,722140,30.38,-84.37,21
Tallahassee,TMY--93805,722140,30.38,-84.37,21
Tallahassee Regional Ap  Isis,TMY3,722140,30.38,-84.37,21
TAMPA,TMY2-12842,722110,27.97,-82.53,3
Tampa/Int'l Airport,TMY--12842,722110,27.97,-82.53,3
Tampa International Ap,TMY3,722110,27.97,-82.53,6
Tyndall Afb,TMY3,747750,30.07,-85.58,7
Vero Beach Municipal Arpt,TMY3,722045,27.65,-80.42,7
WEST_PALM_BEACH,TMY2-12844,722030,26.68,-80.1,6
West Palm Beach,TMY--12844,722030,26.68,-80.12,6
West Palm Beach Intl Arpt,TMY3,722030,26.68,-80.1,6
Whiting Field Naas,TMY3,722226,30.72,-87.02,54
ATHENS,TMY2-13873,723110,33.95,-83.32,244
ATLANTA,TMY2-13874,722190,33.65,-84.43,315
AUGUSTA,TMY2-03820,722180,33.37,-81.97,45
COLUMBUS,TMY2-93842,722255,32.52,-84.95,136
Columbus Metropolitan Arpt,TMY3,722255,32.52,-84.95,120
Dekalb Peachtree,TMY3,722196,33.87,-84.3,313
Fulton Co Arpt Brow,TMY3,722195,33.77,-84.52,263
MACON,TMY2-03813,722170,32.7,-83.65,110
SAVANNAH,TMY2-03822,722070,32.13,-81.2,16
Savannah,TMY-- 3822,722070,32.13,-81.2,15
Savannah Intl Ap,TMY3,722070,32.12,-81.2,14
Valdosta Wb Airport,TMY3,722166,30.78,-83.28,61
Warner Robins Afb,TMY3,722175,32.63,-83.6,92
Ewa/Barbers Point NAS,TMY--22514,911780,21.32,-158.07,15
Barbers Point Nas,TMY3,911780,21.32,-158.07,15
HILO,TMY2-21504,912850,19.72,-155.07,11
Hilo,TMY--21504,912850,19.72,-155.07,11
Hilo International Ap,TMY3,912850,19.72,-155.05,9
HONOLULU,TMY2-22521,911820,21.33,-157.92,5
Honolulu,TMY--22521,911820,21.35,-157.93,5
Honolulu Intl Arpt,TMY3,911820,21.32,-157.93,2
KAHULUI,TMY2-22516,911900,20.9,-156.43,15
Kahului Airport,TMY3,911900,20.9,-156.43,16
LIHUE,TMY2-22536,911650,21.98,-159.35,45
Lihue,TMY--22536,911650,21.98,-159.35,45
Lihue Airport,TMY3,911650,21.98,-159.33,31
Molokai  Amos,TMY3,911860,21.15,-157.1,137
Atlantic,TMY3,725453,41.4,-95.05,360
Boone Muni,TMY3,725486,42.05,-93.85,354
Burlington,TMY--14931,725455,40.78,-91.13,213
Burlington Municipal Ap,TMY3,725455,40.78,-91.12,211
Carroll,TMY3,725468,42.05,-94.78,375
Cedar Rapids Municipal Ap,TMY3,725450,41.88,-91.72,256
Chariton,TMY3,725469,41.03,-93.37,320
Charles City,TMY3,725463,43.07,-92.62,343
Clinton Muni  Awos,TMY3,725473,41.83,-90.33,216
Creston,TMY3,725474,41.02,-94.37,394
DES_MOINES,TMY2-14933,725460,41.53,-93.65,294
Des Moines,TMY--14933,725460,41.53,-93.65,294
Des Moines Intl Ap,TMY3,725460,41.53,-93.67,292
Dubuque Regional Ap,TMY3,725470,42.4,-90.7,322
Estherville Muni,TMY3,726499,43.4,-94.75,401
Fair Field,TMY3,726498,41.05,-91.98,244
Fort Dodge  Awos,TMY3,725490,42.55,-94.18,355
Keokuk Muni,TMY3,725456,40.47,-91.43,205
MASON_CITY,TMY2-14940,725485,43.15,-93.33,373
Mason City,TMY--14940,725485,43.15,-93.33,370
Mason City Municipal Arpt,TMY3,725485,43.15,-93.33,364
Ottumwa Industrial Ap,TMY3,725465,41.1,-92.45,257
SIOUX_CITY,TMY2-14943,725570,42.4,-96.38,336
Spencer,TMY3,726500,43.17,-95.15,408
Storm Lake,TMY3,725496,42.6,-95.23,454
Washington,TMY3,725454,41.28,-91.67,230
WATERLOO,TMY2-94910,725480,42.55,-92.4,265
Waterloo Municipal Ap,TMY3,725480,42.55,-92.4,264
Webster City,TMY3,725478,42.43,-93.87,342
BOISE,TMY2-24131,726810,43.57,-116.22,874
Boise,TMY--24131,726810,43.57,-116.22,874
Boise Air Terminal  Uo,TMY3,726810,43.62,-116.21,701
Burley Municipal Arpt,TMY3,725867,42.53,-113.77,1267
Caldwell  Awos,TMY3,726813,43.63,-116.63,740
Coeur D Alene Awos,TMY3,727834,47.77,-116.82,707
Mountain Home Afb,TMY3,726815,43.05,-115.87,912
POCATELLO,TMY2-24156,725780,42.92,-112.6,1365
Pocatello,TMY--24156,725780,42.92,-112.6,1365
Pocatello Regional Ap,TMY3,725780,42.92,-112.57,1353
Aurora Municipal,TMY3,744655,41.77,-88.47,215
Cahokia St  Louis,TMY3,725314,38.57,-90.15,126
Decatur,TMY3,725316,39.83,-88.87,213
W  Chicago Du Page,TMY3,725305,41.92,-88.25,231
MOLINE,TMY2-14923,725440,41.45,-90.52,181
Mount Vernon  Awos,TMY3,724335,38.32,-88.87,146
PEORIA,TMY2-14842,725320,40.67,-89.68,199
Quincy Muni Baldwin Fld,TMY3,724396,39.93,-91.2,233
ROCKFORD,TMY2-94822,725430,42.2,-89.1,221
SPRINGFIELD,TMY2-93822,724390,39.83,-89.67,187
EVANSVILLE,TMY2-93817,724320,38.05,-87.53,118
Evansville,TMY--93817,724320,38.05,-87.53,118
Evansville Regional Ap,TMY3,724320,38.05,-87.53,116
FORT_WAYNE,TMY2-14827,725330,41,-85.2,252
Fort Wayne,TMY--14827,725330,41,-85.2,252
Fort Wayne Intl Ap,TMY3,725330,41,-85.2,241
Grissom Arb,TMY3,725335,40.65,-86.15,253
Huntingburg,TMY3,724365,38.25,-86.95,161
INDIANAPOLIS,TMY2-93819,724380,39.73,-86.28,246
Indianapolis,TMY--93819,724380,39.73,-86.27,246
Indianapolis Intl Ap,TMY3,724380,39.72,-86.27,241
Monroe Co,TMY3,724375,39.13,-86.62,264
SOUTH_BEND,TMY2-14848,725350,41.7,-86.32,236
DODGE_CITY,TMY2-13985,724510,37.77,-99.97,787
Dodge City,TMY--13985,724510,37.77,-99.97,790
Dodge City Regional Ap,TMY3,724510,37.77,-99.97,785
Garden City Municipal Ap,TMY3,724515,37.93,-100.72,878
GOODLAND,TMY2-23065,724650,39.37,-101.7,1124
Great Bend  Awos,TMY3,724517,38.35,-98.87,575
Hays Muni  Awos,TMY3,724518,38.85,-99.27,609
Hill City Municipal Ap,TMY3,724655,39.38,-99.83,667
Liberal Muni,TMY3,724516,37.03,-100.97,901
Manhattan Rgnl,TMY3,724555,39.13,-96.67,330
Newton  Awos,TMY3,724509,38.05,-97.28,467
Russell Municipal Ap,TMY3,724585,38.88,-98.82,566
Salina Municipal Ap,TMY3,724586,38.82,-97.67,385
TOPEKA,TMY2-13996,724560,39.07,-95.63,270
WICHITA,TMY2-03928,724500,37.65,-97.42,408
Fort Campbell Aaf,TMY3,746710,36.67,-87.48,173
Henderson City,TMY3,724238,37.82,-87.68,117
LEXINGTON,TMY2-93820,724220,38.03,-84.6,301
LOUISVILLE,TMY2-93821,724230,38.18,-85.73,149
Barksdale Afb,TMY3,722485,32.5,-93.67,54
BATON_ROUGE,TMY2-13970,722317,30.53,-91.15,23
Fort Polk Aaf,TMY3,722390,31.05,-93.18,102
Lafayette Regional Ap,TMY3,722405,30.2,-91.98,12
LAKE_CHARLES,TMY2-03937,722400,30.12,-93.22,3
Lake Charles,TMY-- 3937,722400,30.12,-93.22,10
Lake Charles Regional Arpt,TMY3,722400,30.12,-93.23,5
Monroe Regional Ap,TMY3,722486,32.52,-92.03,40
NEW_ORLEANS,TMY2-12916,722315,29.98,-90.25,3
New Orleans/Lakefront,TMY--12916,722310,30.05,-90.03,3
New Orleans Intl Arpt,TMY3,722310,30,-90.25,1
Patterson Memorial,TMY3,722329,29.72,-91.33,3
SHREVEPORT,TMY2-13957,722480,32.47,-93.82,79
Shreveport Downtown,TMY3,722484,32.53,-93.75,55
Shreveport,TMY--13957,722480,32.47,-93.82,79
Shreveport Regional Arpt,TMY3,722480,32.45,-93.82,77
Lawrence Muni,TMY3,744904,42.72,-71.12,46
Marthas Vineyard,TMY3,725066,41.4,-70.62,21
New Bedford Rgnl,TMY3,725065,41.67,-70.95,25
Norwood Memorial,TMY3,725098,42.18,-71.18,15
Otis Angb,TMY3,725060,41.65,-70.52,40
Plymouth Municipal,TMY3,725064,41.92,-70.73,45
Provincetown  Awos,TMY3,725073,42.07,-70.22,2
WORCESTER,TMY2-94746,725095,42.27,-71.87,301
Worchester Regional Arpt,TMY3,725095,42.27,-71.88,300
Andrews Afb,TMY3,745940,38.82,-76.87,86
BALTIMORE,TMY2-93721,724060,39.18,-76.67,47
Patuxent River NAS,TMY--13721,724040,38.3,-76.41,14
Patuxent River Nas,TMY3,724040,38.3,-76.42,14
Augusta Airport,TMY3,726185,44.32,-69.8,107
Bangor/Dow AFB,TMY--14601,726088,44.8,-68.8,56
Bangor International Ap,TMY3,726088,44.8,-68.82,56
Bar Harbor  Awos,TMY3,726077,44.45,-68.37,26
Naval Air Station,TMY3,743920,43.9,-69.93,21
CARIBOU,TMY2-14607,727120,46.87,-68.02,190
Caribou,TMY--14607,727120,46.87,-68.02,190
Caribou Municipal Arpt,TMY3,727120,46.87,-68.03,190
Houlton Intl Arpt,TMY3,727033,46.12,-67.8,150
PORTLAND,TMY2-14764,726060,43.65,-70.32,19
Portland,TMY--14764,726060,43.65,-70.32,19
Portland Intl Jetport,TMY3,726060,43.65,-70.3,14
Presque Isle Municip,TMY3,727130,46.68,-68.05,163
Sanford Muni  Awos,TMY3,726064,43.4,-70.72,74
Waterville  Awos,TMY3,726073,44.53,-69.68,101
Wiscasset,TMY3,727135,43.97,-69.72,21
ALPENA,TMY2-94849,726390,45.07,-83.57,210
Alpena,TMY--94849,726390,45.07,-83.57,211
Alpena County Regional Ap,TMY3,726390,45.07,-83.58,210
Chippewa Co Intl,TMY3,727344,46.25,-84.47,250
Detroit Metropolitan Arpt,TMY3,725370,42.22,-83.35,194
Escanaba  Awos,TMY3,726480,45.75,-87.03,187
FLINT,TMY2-14826,726370,42.97,-83.73,233
GRAND_RAPIDS,TMY2-94860,726350,42.88,-85.52,245
HOUGHTON,TMY2-94814,727440,47.17,-88.5,329
Ironwood  Awos,TMY3,727445,46.53,-90.13,375
LANSING,TMY2-14836,725390,42.78,-84.6,256
Manistee  Awos,TMY3,726385,44.27,-86.25,189
Menominee  Awos,TMY3,726487,45.13,-87.63,191
MUSKEGON,TMY2-14840,726360,43.17,-86.25,191
Muskegon County Arpt,TMY3,726360,43.17,-86.23,190
Oakland Co Intl,TMY3,726375,42.67,-83.42,306
SAULT_STE._MARIE,TMY2-14847,727340,46.47,-84.37,221
St Clair County Int,TMY3,725384,42.92,-82.53,198
TRAVERSE_CITY,TMY2-14850,726387,44.73,-85.58,192
Aitkin Ndb Awos,TMY3,727504,46.55,-93.68,367
Albert Lea  Awos,TMY3,726589,43.68,-93.37,383
Alexandria Municipal Ap,TMY3,726557,45.88,-95.4,433
Austin Muni,TMY3,727566,43.67,-92.93,375
Baudette International Ap,TMY3,727476,48.72,-94.6,330
Bemidji Municipal,TMY3,727550,47.5,-94.93,420
Benson Muni,TMY3,727507,45.32,-95.65,317
Cambridge Muni,TMY3,727503,45.57,-93.27,287
Cloquet  Awos,TMY3,726558,46.7,-92.5,390
Crane Lake  Awos,TMY3,727473,46.27,-92.57,350
Crookston Muni Fld,TMY3,727452,47.85,-96.62,273
Detroit Lakes Awos,TMY3,727457,46.83,-95.88,426
DULUTH,TMY2-14913,727450,46.83,-92.18,432
Duluth,TMY--14913,727450,46.83,-92.18,432
Duluth International Arpt,TMY3,727450,46.83,-92.22,433
Ely Muni,TMY3,727459,47.82,-91.83,455
Eveleth Muni  Awos,TMY3,727474,47.4,-92.5,421
Fairmont Muni Awos,TMY3,726586,43.65,-94.42,354
Faribault Muni Awos,TMY3,726563,44.33,-93.32,322
Fergus Falls Awos,TMY3,726560,46.28,-96.15,361
Fosston Awos,TMY3,727505,47.58,-95.77,388
Glenwood  Asos,TMY3,726547,45.65,-95.32,425
Grand Rapids Awos,TMY3,727458,47.22,-93.52,413
Hallock,TMY3,727478,48.78,-96.95,250
Hutchinson  Awos,TMY3,726569,44.87,-94.38,323
INTERNATIONAL_FALLS,TMY2-14918,727470,48.57,-93.38,361
International Falls,TMY--14918,727470,48.57,-93.38,361
International Falls Intl Ap,TMY3,727470,48.57,-93.4,359
Litchfield Muni,TMY3,726583,45.1,-94.5,347
Little Falls  Awos,TMY3,726578,45.95,-94.35,342
Mankato Awos,TMY3,726585,44.22,-93.92,311
Mora Muni  Awos,TMY3,727475,45.88,-93.27,309
Morris Muni  Awos,TMY3,726565,45.57,-95.97,344
New Ulm Muni  Awos,TMY3,726567,44.32,-94.5,308
Orr,TMY3,726544,48.02,-92.87,397
Owatonna  Awos,TMY3,726568,44.12,-93.25,350
Park Rapids Municipal Ap,TMY3,727453,46.9,-95.07,437
Pipestone  Awos,TMY3,726566,43.98,-96.32,529
Red Wing,TMY3,726564,44.58,-92.48,239
Redwood Falls Muni,TMY3,726556,44.55,-95.08,312
ROCHESTER,TMY2-14925,726440,43.92,-92.5,402
Rochester,TMY--14925,726440,43.92,-92.5,402
Rochester International Arpt,TMY3,726440,43.9,-92.5,398
Roseau Muni  Awos,TMY3,727477,48.85,-95.7,323
SAINT_CLOUD,TMY2-14926,726550,45.55,-94.07,313
Silver Bay,TMY3,727556,47.2,-91.4,331
South St Paul Muni,TMY3,726603,44.85,-93.15,250
St Cloud Regional Arpt,TMY3,726550,45.55,-94.05,311
Thief River Awos,TMY3,727555,48.07,-96.18,340
Two Harbors,TMY3,727444,47.05,-91.75,328
Wheaton Ndb  Awos,TMY3,727533,45.7,-96.5,313
Willmar,TMY3,726576,45.12,-95.08,345
Winona Muni  Awos,TMY3,726588,44.08,-91.7,200
Worthington  Awos,TMY3,726587,43.65,-95.58,480
Cape Girardeau Municipal Ap,TMY3,723489,37.23,-89.57,103
COLUMBIA,TMY2-03945,724450,38.82,-92.22,270
Columbia,TMY-- 3945,724450,38.82,-92.22,274
Columbia Regional Airport,TMY3,724450,38.82,-92.22,272
Jefferson City Mem,TMY3,724458,38.58,-92.15,167
Joplin Municipal Ap,TMY3,723495,37.15,-94.5,297
KANSAS_CITY,TMY2-03947,724460,39.3,-94.72,315
Kansas City Downtown Ap,TMY3,724463,39.12,-94.6,226
Kansas City IntL Arpt,TMY3,724460,39.3,-94.72,298
Kirksville Regional Ap,TMY3,724455,40.1,-92.55,294
Poplar Bluff Amos,TMY3,723300,36.77,-90.47,146
Vichy Rolla Natl Arpt,TMY3,724456,38.13,-91.77,336
SPRINGFIELD,TMY2-13995,724400,37.23,-93.38,387
Springfield,TMY--13995,724400,37.23,-93.38,387
Springfield Regional Arpt,TMY3,724400,37.23,-93.38,384
ST._LOUIS,TMY2-13994,724340,38.75,-90.38,172
Whiteman Afb,TMY3,724467,38.72,-93.55,255
Columbus Afb,TMY3,723306,33.65,-88.45,68
Golden Tri Awos,TMY3,723307,33.45,-88.58,80
JACKSON,TMY2-03940,722350,32.32,-90.08,101
Jackson,TMY-- 3940,722350,32.32,-90.08,101
Jackson International Ap,TMY3,722350,32.32,-90.08,94
MERIDIAN,TMY2-13865,722340,32.33,-88.75,94
Meridian Naas,TMY3,722345,32.55,-88.57,83
BILLINGS,TMY2-24033,726770,45.8,-108.53,1088
CUT_BANK,TMY2-24137,727796,48.6,-112.37,1170
Cut Bank,TMY--24137,727796,48.6,-112.37,1175
Cut Bank Muni Ap,TMY3,727796,48.6,-112.37,1170
Dillon,TMY--24138,726796,45.25,-112.55,1597
GLASGOW,TMY2-94008,727680,48.22,-106.62,700
Glasgow,TMY--94008,727680,48.22,-106.62,700
Glasgow Intl Arpt,TMY3,727680,48.22,-106.62,699
Glendive Awos,TMY3,726676,47.13,-104.8,749
GREAT_FALLS,TMY2-24143,727755,47.48,-111.37,1116
Great Falls/Malmstrom,TMY--24143,727750,47.5,-111.18,1075
Great Falls Intl Arpt,TMY3,727750,47.47,-111.38,1117
HELENA,TMY2-24144,727720,46.6,-112,1188
Helena,TMY--24144,727720,46.6,-112,1188
Helena Regional Airport,TMY3,727720,46.6,-111.97,1167
KALISPELL,TMY2-24146,727790,48.3,-114.27,904
LEWISTOWN,TMY2-24036,726776,47.05,-109.45,1264
Lewistown,TMY--24036,726776,47.05,-109.47,1270
Lewistown Municipal Arpt,TMY3,726776,47.05,-109.45,1263
MILES_CITY,TMY2-24037,742300,46.43,-105.87,803
Miles City,TMY--24037,742300,46.43,-105.87,801
Miles City Municipal Arpt,TMY3,742300,46.43,-105.88,801
MISSOULA,TMY2-24153,727730,46.92,-114.08,972
Missoula,TMY--24153,727730,46.92,-114.08,972
Missoula International Ap,TMY3,727730,46.92,-114.1,973
ASHEVILLE,TMY2-03812,723150,35.43,-82.53,661
Asheville,TMY-- 3812,723150,35.43,-82.55,661
Asheville Regional Arpt,TMY3,723150,35.43,-82.53,652
Cape Hatteras,TMY--93729,723040,35.27,-75.55,3
CAPE_HATTERAS,TMY2-93729,723040,35.27,-75.55,2
Cape Hatteras Nws Bldg,TMY3,723040,35.27,-75.55,3
CHARLOTTE,TMY2-13881,723140,35.22,-80.93,234
Cherry Point MCAS,TMY--13754,723090,34.9,-76.88,11
Cherry Point Mcas,TMY3,723090,34.9,-76.88,11
Fayetteville Rgnl G,TMY3,723035,34.98,-78.88,59
GREENSBORO,TMY2-13723,723170,36.08,-79.95,270
Hickory Regional Ap,TMY3,723145,35.73,-81.38,348
Jacksonville  Awos,TMY3,723069,34.83,-77.62,29
New River Mcaf,TMY3,723096,34.7,-77.38,5
Pitt Greenville Arp,TMY3,723065,35.63,-77.4,8
WILMINGTON,TMY2-13748,723013,34.27,-77.9,9
Wilmington International Arpt,TMY3,723013,34.27,-77.9,9
BISMARCK,TMY2-24011,727640,46.77,-100.75,502
Bismarck,TMY--24011,727640,46.77,-100.75,506
Bismarck Municipal Arpt  Isis,TMY3,727640,46.77,-100.77,502
Devils Lake Awos,TMY3,727573,48.12,-98.92,443
Dickinson Municipal Ap,TMY3,727645,46.8,-102.8,788
FARGO,TMY2-14914,727530,46.9,-96.8,274
Grand Forks Af,TMY3,727575,47.97,-97.4,276
Grand Forks International Ap,TMY3,727576,47.95,-97.18,256
Jamestown Municipal Arpt,TMY3,727535,46.92,-98.68,455
MINOT,TMY2-24013,727676,48.27,-101.28,522
Minot Afb,TMY3,727675,48.42,-101.35,497
Minot/Int'l Airport,TMY--24013,727676,48.27,-101.28,523
Minot Faa Ap,TMY3,727676,48.27,-101.28,523
Ainsworth Municipal,TMY3,725556,42.58,-100,789
Alliance Municipal,TMY3,725635,42.05,-102.8,1198
Beatrice Municipal,TMY3,725515,40.3,-96.75,403
Columbus Muni,TMY3,725565,41.45,-97.33,451
Fremont Muni Arpt,TMY3,725564,41.45,-96.52,379
GRAND_ISLAND,TMY2-14935,725520,40.97,-98.32,566
Hastings Municipal,TMY3,725525,40.6,-98.43,596
Kearney Muni  Awos,TMY3,725526,40.73,-99,649
Lincoln Municipal Arpt,TMY3,725510,40.83,-96.77,357
Mccook Municipal,TMY3,725625,40.2,-100.58,786
NORFOLK,TMY2-14941,725560,41.98,-97.43,471
NORTH_PLATTE,TMY2-24023,725620,41.13,-100.68,849
North Platte,TMY--24023,725620,41.13,-100.68,849
North Platte Regional Ap,TMY3,725620,41.12,-100.67,847
OMAHA,TMY2-94918,725500,41.37,-96.52,404
Omaha Wsfo,TMY3,725530,41.37,-96.02,399
SCOTTSBLUFF,TMY2-24028,725660,41.87,-103.6,1206
Sidney Municipal Ap,TMY3,725610,41.1,-102.98,1313
Tekamah  Asos,TMY3,725527,41.77,-96.17,312
Berlin Municipal,TMY3,726160,44.58,-71.18,353
CONCORD,TMY2-14745,726050,43.2,-71.5,105
Concord,TMY--14745,726050,43.2,-71.5,105
Concord Municipal Arpt,TMY3,726050,43.2,-71.5,106
Laconia Muni  Awos,TMY3,726155,43.57,-71.42,166
Lebanon Municipal,TMY3,726116,43.63,-72.3,182
Manchester Airport,TMY3,743945,42.93,-71.43,69
Mount Washington,TMY3,726130,44.27,-71.3,1910
Pease Intl Tradepor,TMY3,726055,43.08,-70.82,31
ATLANTIC_CITY,TMY2-93730,724070,39.45,-74.57,20
Atlantic City Intl Ap,TMY3,724070,39.45,-74.57,18
Cape May Co,TMY3,745966,39,-74.92,7
Lakehurst NAS,TMY--14780,724096,40.03,-74.7,34
Mcguire Afb,TMY3,724096,40.02,-74.6,45
Millville Municipal Ap,TMY3,724075,39.37,-75.08,21
NEWARK,TMY2-14734,725020,40.7,-74.17,9
Newark,TMY--14734,725020,40.7,-74.17,9
Newark International Arpt,TMY3,725020,40.72,-74.18,3
Teterboro Airport,TMY3,725025,40.85,-74.07,3
ALBUQUERQUE,TMY2-23050,723650,35.05,-106.62,1619
Albuquerque,TMY--23050,723650,35.05,-106.62,1620
Albuquerque Intl Arpt  Isis,TMY3,723650,35.04,-106.62,1619
Carlsbad Cavern City Air Term,TMY3,722687,32.33,-104.27,985
Clayton,TMY--23051,723600,36.45,-103.15,1511
Clayton Municipal Airpark,TMY3,723600,36.45,-103.15,1512
Clovis Muni   Awos,TMY3,722689,34.43,-103.08,1284
Holloman Afb,TMY3,747320,32.85,-106.1,1248
Roswell,TMY--23043,722680,33.3,-104.53,1112
Roswell Industrial Air Park,TMY3,722680,33.3,-104.53,1112
Taos Muni Apt Awos,TMY3,723663,36.45,-105.67,2161
Truth or Consequences,TMY--93045,722710,33.23,-107.25,1478
Truth Or Consequences Muni Ap,TMY3,722710,33.23,-107.27,1478
ELKO,TMY2-24121,725825,40.83,-115.78,1547
Elko,TMY--24121,725825,40.83,-115.78,1565
Elko Municipal Arpt,TMY3,725825,40.83,-115.8,1548
ELY,TMY2-23154,724860,39.28,-114.85,1906
Fallon Naas,TMY3,724885,39.42,-118.72,1199
LAS_VEGAS,TMY2-23169,723860,36.08,-115.17,664
Nellis Afb,TMY3,723865,36.25,-115.03,573
RENO,TMY2-23185,724880,39.5,-119.78,1341
TONOPAH,TMY2-23153,724855,38.07,-117.13,1653
Tonopah,TMY--23153,724855,38.05,-117.08,1654
Tonopah Airport,TMY3,724855,38.07,-117.08,1655
WINNEMUCCA,TMY2-24128,725830,40.9,-117.8,1323
Winnemucca,TMY--24128,725830,40.9,-117.8,1315
Winnemucca Municipal Arpt,TMY3,725830,40.9,-117.8,1310
ALBANY,TMY2-14735,725180,42.75,-73.8,89
Albany,TMY--14735,725180,42.75,-73.8,89
Albany County Ap,TMY3,725180,42.75,-73.8,84
BINGHAMTON,TMY2-04725,725150,42.22,-75.98,499
BUFFALO,TMY2-14733,725280,42.93,-78.73,215
Elmira Corning Regional Ap,TMY3,725156,42.17,-76.9,291
Jamestown  Awos,TMY3,725235,42.15,-79.27,525
MASSENA,TMY2-94725,726223,44.93,-74.85,63
Massena,TMY--94725,726223,44.93,-74.85,65
Massena Ap,TMY3,726223,44.93,-74.85,65
Monticello Awos,TMY3,725145,41.7,-74.8,428
Niagara Falls Af,TMY3,725287,43.1,-78.95,180
Republic,TMY3,744864,40.72,-73.42,26
ROCHESTER,TMY2-14768,725290,43.12,-77.67,169
SYRACUSE,TMY2-14771,725190,43.12,-76.12,124
Watertown Ap,TMY3,726227,44,-76.02,97
AKRON,TMY2-14895,725210,40.92,-81.43,377
Akron/Canton,TMY--14895,725210,40.92,-81.43,377
Akron Akron Canton Reg Ap,TMY3,725210,40.92,-81.43,368
CLEVELAND,TMY2-14820,725240,41.4,-81.85,245
COLUMBUS,TMY2-14821,724280,40,-82.88,254
DAYTON,TMY2-93815,745700,39.9,-84.22,306
Dayton International Airport,TMY3,724290,39.9,-84.22,305
Findlay Airport,TMY3,725366,41.02,-83.67,244
MANSFIELD,TMY2-14891,725246,40.82,-82.52,395
Ohio State Universi,TMY3,724288,40.07,-83.07,283
TOLEDO,TMY2-94830,725360,41.6,-83.8,211
Toledo,TMY--94830,725360,41.6,-83.8,211
Toledo Express Airport,TMY3,725360,41.58,-83.8,204
YOUNGSTOWN,TMY2-14852,725250,41.27,-80.67,361
Youngstown,TMY--14852,725250,41.27,-80.67,361
Youngstown Regional Airport,TMY3,725250,41.25,-80.67,360
Zanesville Municipal Ap,TMY3,724286,39.95,-81.9,268
Altus Afb,TMY3,723520,34.65,-99.27,414
Clinton Sherman,TMY3,723526,35.33,-99.2,586
Gage Airport,TMY3,723527,36.3,-99.77,668
Hobart Municipal Ap,TMY3,723525,35,-99.05,478
