Location,Source,WMO,Lat,Lon,Altitude
Patelleria,IGDG,164700,36.82,11.97,170
Perugia,IGDG,161810,43.08,12.5,213
Pescara,IGDG,162300,42.85,14.2,16
Piacenza,IGDG,160840,44.92,9.73,134
PISA,IWEC Data,161580,43.68,10.38,1
Ponza,IGDG,162800,40.92,12.95,185
Pratica di Mare,IGDG,162450,41.65,12.6,21
Rimini,IGDG,161490,44.03,12.62,13
ROME,IWEC Data,162420,41.8,12.23,3
S Maria di Leuca,IGDG,163600,39.65,18.35,112
San Remo,IGDG,161530,43.95,8.17,221
Taranto,IGDG,163250,40.43,16.88,12
TORINO,IWEC Data,160590,45.22,7.65,287
Trieste,IGDG,161100,45.65,13.75,20
Ustica,IGDG,164000,38.7,13.18,251
VENICE,IWEC Data,161050,45.5,12.33,6
KAGOSHIMA,IWEC Data,478270,31.57,130.55,5
MATSUMOTO,IWEC Data,476180,36.25,137.97,611
MIHO (CIV/JASDF),IWEC Data,477430,35.48,133.25,9
NAGOYA,IWEC Data,476350,35.25,136.93,17
OSAKA,IWEC Data,477710,34.78,135.45,15
SAPPORO,IWEC Data,474120,43.05,141.33,19
SHIMONOSEKI,IWEC Data,477620,33.95,130.93,19
TOKYO HYAKURI,IWEC Data,477150,36.18,140.42,35
TOSASHIMIZU,IWEC Data,478980,32.72,133.02,33
SEMIPALATINSK,IWEC Data,361770,50.35,80.25,196
EMBU,SWERA,637200,-0.5,37.45,1493
GARISSA,SWERA,637230,-0.47,39.63,147
KISUMU,SWERA,637080,-0.1,34.75,1146
KITALE,SWERA,636610,1.02,35,1875
LODWAR,SWERA,636120,3.12,35.62,515
MAKINDU,SWERA,637660,-2.28,37.83,1000
MARSABIT,SWERA,636410,2.3,37.9,1345
MERU,SWERA,636950,0.08,37.65,1554
MOYALE_LOWER_(ODA),SWERA,636190,3.53,39.05,1097
NAIROBI,IWEC Data,637400,-1.32,36.92,1624
NAKURU,SWERA,637140,-0.27,36.1,1901
NYERI,SWERA,637170,-0.5,36.97,1759
VOI,SWERA,637930,-3.4,38.57,579
Kuwait Intl Airport,KISR,405820,29.22,47.98,55
TRIPOLI,IWEC Data,620100,32.67,13.15,81
KAUNAS,IWEC Data,266290,54.88,23.88,75
MACAU,IWEC Data,450110,22.2,113.53,86
CASABLANCA/NOUASSER,IWEC Data,601560,33.37,-7.58,206
ANTANANARIVO,IWEC Data,670830,-18.8,47.48,1276
ACAPULCO,IWEC Data,768056,16.77,-99.75,5
MEXICO CITY,IWEC Data,766790,19.43,-99.08,2234
VERACRUZ,IWEC Data,766910,19.2,-96.13,14
Kwajalein Atoll,TMY--40604,913660,8.73,167.73,2
ULAANBATAAR,IWEC Data,442920,47.93,106.98,1316
ULAANGOM,IWEC Data,442120,49.88,92.08,936
GEORGE TOWN,IWEC Data,486010,5.3,100.27,4
KOTA BAHARU,IWEC Data,486150,6.17,102.28,5
KUALA LUMPUR,IWEC Data,486470,3.12,101.55,22
KUCHING,IWEC Data,964130,1.48,110.33,27
AMSTERDAM,IWEC Data,62400,52.3,4.77,-2
BEEK,IWEC Data,63800,50.92,5.78,116
GRONINGEN,IWEC Data,62800,53.13,6.58,4
BERGEN,IWEC Data,13110,60.3,5.22,50
OSLO/FORNEBU,IWEC Data,14880,59.9,10.62,17
AUCKLAND,IWEC Data,931190,-37.02,174.8,6
CHRISTCHURCH,IWEC Data,937800,-43.48,172.55,34
WELLINGTON,IWEC Data,934360,-41.3,174.78,67
KARACHI,IWEC Data,417800,24.9,67.13,22
AREQUIPA,IWEC Data,847520,-16.32,-71.55,2520
CUZCO,IWEC Data,846860,-13.55,-71.98,3249
LIMA,IWEC Data,846280,-12,-77.12,13
MANILA,IWEC Data,984290,14.52,121,21
Koror Island,TMY--40309,914080,7.33,134.48,28
Bialystok,IMGW,122950,53,23.25,151
Bielsko Biala,IMGW,126000,49.67,19.25,399
